repo,last_comment_id,last_since,updated_at
Azure/azure-sdk-for-js,4766815208,2026-06-22T09:25:39Z,2026-06-22T09:32:18.103449+00:00
Azure/azure-sdk-for-js/reviews,3449567281,2026-06-22T02:58:58Z,2026-06-22T09:32:21.678442+00:00
dotnet/maui,4766777768,2026-06-22T09:21:20Z,2026-06-22T09:32:19.818150+00:00
dotnet/maui/reviews,3451073814,2026-06-22T09:20:28Z,2026-06-22T09:32:22.965397+00:00
dotnet/roslyn,4766668865,2026-06-22T09:09:09Z,2026-06-22T09:32:20.201954+00:00
dotnet/roslyn/reviews,3449921045,2026-06-22T05:09:58Z,2026-06-22T09:32:23.303095+00:00
dotnet/runtime,4766705051,2026-06-22T09:13:14Z,2026-06-22T09:32:20.688432+00:00
dotnet/runtime/reviews,0,2025-04-19T00:00:00Z,2026-06-22T09:36:30.002034+00:00
microsoft/aspire,4766837334,2026-06-22T09:28:21Z,2026-06-22T09:32:17.744915+00:00
microsoft/aspire/reviews,3451132842,2026-06-22T09:30:17Z,2026-06-22T09:32:21.282718+00:00
microsoft/vcpkg,4766398650,2026-06-22T08:33:38Z,2026-06-22T09:32:18.445199+00:00
microsoft/vcpkg/reviews,3448995266,2026-06-21T20:06:30Z,2026-06-22T09:32:22.028337+00:00
